track,deletion_method,audit_method,decision,ground_truth_failure,detected_failure,aggregate_risk_ucb,direct_leakage,paraphrase_leakage,retrieval_dependence,counterfactual_dependence,extraction_risk,watermark_hit,retain_utility,audit_calls,detection_per_1000_calls
FineTune,over-unlearned adapter,CanaryOnly,escalate,True,True,0.4299,0.0,0.0,0.0,0.0,0.0,0.0,0.4,23,43.48
FineTune,over-unlearned adapter,RetrieverHit,escalate,True,True,0.4299,0.0,0.0,0.0,0.0,0.0,0.0,0.4,23,43.48
FineTune,over-unlearned adapter,UniformProbes,escalate,True,True,0.4299,0.0,0.0,0.0,0.0,0.0,0.0,0.4,23,43.48
FineTune,over-unlearned adapter,ADCU-NoValuation,escalate,True,True,0.4299,0.0,0.0,0.0,0.0,0.0,0.0,0.4,23,43.48
FineTune,over-unlearned adapter,ADCU,escalate,True,True,0.4299,0.0,0.0,0.0,0.0,0.0,0.0,0.4,23,43.48
Hybrid,full provenance purge,ExactMatch,pass,False,False,0.4299,0.0,0.0,0.0,0.0,0.0,0.0,0.98,23,0.0
Hybrid,full provenance purge,CanaryOnly,pass,False,False,0.4299,0.0,0.0,0.0,0.0,0.0,0.0,0.98,23,0.0
Hybrid,full provenance purge,RetrieverHit,pass,False,False,0.4299,0.0,0.0,0.0,0.0,0.0,0.0,0.98,23,0.0
Hybrid,full provenance purge,UniformProbes,escalate,False,False,0.4299,0.0,0.0,0.0,0.0,0.0,0.0,0.98,23,0.0
Hybrid,full provenance purge,ADCU-NoValuation,pass,False,False,0.4299,0.0,0.0,0.0,0.0,0.0,0.0,0.98,23,0.0
Hybrid,full provenance purge,ADCU,pass,False,False,0.4299,0.0,0.0,0.0,0.0,0.0,0.0,0.98,23,0.0
Hybrid,RAG-only deletion,ExactMatch,fail,True,False,0.8135,0.3739,0.6957,0.0,0.6957,0.087,0.0,0.96,23,0.0
Hybrid,RAG-only deletion,CanaryOnly,pass,True,False,0.4299,0.3739,0.6957,0.0,0.6957,0.087,0.0,0.96,23,0.0
Hybrid,RAG-only deletion,RetrieverHit,pass,True,False,0.4299,0.3739,0.6957,0.0,0.6957,0.087,0.0,0.96,23,0.0
Hybrid,RAG-only deletion,UniformProbes,fail,True,True,0.8533,0.3739,0.6957,0.0,0.6957,0.087,0.0,0.96,23,43.48
Hybrid,RAG-only deletion,ADCU-NoValuation,fail,True,True,0.8533,0.3739,0.6957,0.0,0.6957,0.087,0.0,0.96,23,43.48
Hybrid,RAG-only deletion,ADCU,fail,True,True,0.8533,0.3739,0.6957,0.0,0.6957,0.087,0.0,0.96,23,43.48
Hybrid,adapter-only unlearning,ExactMatch,fail,True,True,0.9283,0.6957,0.6174,0.6957,0.6957,0.087,0.3913,0.96,23,43.48
Hybrid,adapter-only unlearning,CanaryOnly,fail,True,True,0.7839,0.6957,0.6174,0.6957,0.6957,0.087,0.3913,0.96,23,43.48
Hybrid,adapter-only unlearning,RetrieverHit,fail,True,True,0.9283,0.6957,0.6174,0.6957,0.6957,0.087,0.3913,0.96,23,43.48
Hybrid,adapter-only unlearning,UniformProbes,fail,True,True,0.9283,0.6957,0.6174,0.6957,0.6957,0.087,0.3913,0.96,23,43.48
Hybrid,adapter-only unlearning,ADCU-NoValuation,fail,True,True,0.9283,0.6957,0.6174,0.6957,0.6957,0.087,0.3913,0.96,23,43.48
Hybrid,adapter-only unlearning,ADCU,fail,True,True,0.9283,0.6957,0.6174,0.6957,0.6957,0.087,0.3913,0.96,23,43.48
Hybrid,synthetic derivative retained,ExactMatch,fail,True,False,0.8135,0.3739,0.6957,0.3913,0.6957,0.087,0.0,0.96,23,0.0
Hybrid,synthetic derivative retained,CanaryOnly,pass,True,False,0.4299,0.3739,0.6957,0.3913,0.6957,0.087,0.0,0.96,23,0.0
Hybrid,synthetic derivative retained,RetrieverHit,fail,True,True,0.7839,0.3739,0.6957,0.3913,0.6957,0.087,0.0,0.96,23,43.48
Hybrid,synthetic derivative retained,UniformProbes,fail,True,True,0.9283,0.3739,0.6957,0.3913,0.6957,0.087,0.0,0.96,23,43.48
Hybrid,synthetic derivative retained,ADCU-NoValuation,fail,True,True,0.9283,0.3739,0.6957,0.3913,0.6957,0.087,0.0,0.96,23,43.48
Hybrid,synthetic derivative retained,ADCU,fail,True,True,0.9283,0.3739,0.6957,0.3913,0.6957,0.087,0.0,0.96,23,43.48
